Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2000-12-04,175.0,175.0,175.0,175.0,30.0,1.82,"14,503.0",156.18223792013922,141.62805378480743,154.48000000000002,,154.48000000000002,180.3673624929637,128.59263750703633,0.33515487432630353,97.73892071148636,11.165529842864515,9.922731890756339
2000-12-06,178.13,178.13,178.13,178.13,60.0,1.79,"14,508.0",158.27250097536404,143.05950265599148,156.6345,,156.6345,182.87954081476002,130.38945918523999,0.3351118791167976,97.78106508875747,11.531826037782707,10.244550720161612
2000-12-08,181.26,181.26,181.26,181.26,190.0,1.76,"14,508.0",160.46178659675795,144.55756137536434,158.87,,158.87,185.5252619471969,132.2147380528031,0.33556067158301617,97.80637613337241,11.937080024823643,10.58305658109402
2000-12-11,189.94,189.94,189.94,189.94,130.0,4.79,"14,506.0",163.2692354923048,146.33726485084026,161.513,,161.513,189.5194692526566,133.50653074734342,0.34680142468602015,98.13060817547365,12.810973262250911,11.0286399173254
2000-12-13,184.48,184.48,184.48,184.48,110.0,-2.87,"14,513.0",165.2893083025615,147.8330583861014,163.7585,,163.7585,191.5580208402477,135.9589791597523,0.3395185085384601,85.4974311069594,12.914097898272274,11.405731513514775
2000-12-15,187.62,187.62,187.62,187.62,50.0,1.7,"14,509.0",167.41604084517468,149.3933306062543,166.0975,,166.0975,193.64863360930713,138.54636639069287,0.331746517669527,85.62500000000003,13.098208676941141,11.74422694620005
2000-12-18,191.11,191.11,191.11,191.11,80.0,1.86,"14,507.0",169.67260838372945,151.0292784256169,168.4865,,168.4865,196.0113337821837,140.96166621781632,0.3267304357581609,85.86387434554977,13.371592236559906,12.06970000427202
2000-12-20,194.85,194.85,194.85,194.85,40.0,1.96,"14,506.0",172.07045520432663,152.74773809520053,170.9375,,170.9375,198.69679384434772,143.17820615565228,0.3247888128040684,86.17234468937879,13.73174639595851,12.40210928260932
2000-12-22,198.58,198.58,198.58,198.58,60.0,1.91,"14,506.0",174.5951737562955,154.54508169931032,173.438,,173.438,201.71854983460128,145.1574501653987,0.32611711198931365,86.29139072847686,14.15498117729976,12.75268366154741
2000-12-25,202.32,202.32,202.32,202.32,20.0,1.88,"14,513.0",177.23563339855306,156.4186079071805,175.988,,175.988,205.05747800664722,146.91852199335278,0.33035750172338135,87.65861645517805,14.623612630746038,13.126869455387137
2000-12-27,203.09,203.09,203.09,203.09,40.0,0.38,"14,511.0",179.6979540272623,158.24885857748717,178.4385,,178.4385,207.99085516485061,148.8861448351494,0.3312329476525594,87.68885259289506,14.885547671129956,13.478605098535702
2000-12-29,206.83,206.83,206.83,206.83,60.0,1.84,"14,512.0",182.2819584056183,160.15400137837005,180.93800000000002,,180.93800000000002,211.2452168581051,150.63078314189494,0.3350011258895873,89.53020134228187,15.219479139566005,13.826779906741763
2001-01-03,210.56,210.56,210.56,210.56,40.0,1.8,"14,519.0",184.97510522413086,162.13070720666926,183.48600000000002,,183.48600000000002,214.791999694022,152.18000030597804,0.3412358402714319,89.64928909952606,15.605214858260155,14.182466897045442
2001-01-05,214.32,214.32,214.32,214.32,50.0,1.79,"14,520.0",187.76985710754695,164.17734613974105,186.084,,186.084,218.60847590095156,153.55952409904845,0.34956767804810257,89.76953344575603,16.029535266259757,14.551880570888306
2001-01-08,218.12,218.12,218.12,218.12,70.0,1.77,"14,522.0",190.6603469068282,166.29274433033945,188.705,,188.705,222.72713613764458,154.68286386235545,0.36058542314877257,89.8963730569948,16.482441166928822,14.93799269009641
2001-01-10,222.15,222.15,222.15,222.15,180.0,1.85,"14,524.0",193.65936148713027,168.48322494483594,191.5365,,191.5365,226.83620405422386,156.23679594577612,0.368595062081889,90.06188569348379,16.970929366405414,15.344580025358212
2001-01-12,225.67,225.67,225.67,225.67,220.0,1.58,"14,524.0",196.7079937264512,170.7258435744502,194.5115,,194.5115,230.82432868861113,158.1986713113889,0.3733746198925114,90.13193565877461,17.441044857546274,15.763872991795825
2001-01-15,228.35,228.35,228.35,228.35,120.0,1.19,"14,524.0",199.72151813345587,172.98561441466788,197.649,,197.649,234.28589075522817,161.01210924477184,0.3707268010992028,88.93168457328197,17.824399788126186,16.1759783510619
