Date,Price,Open,High,Low,Vol.,Change %
2024-01-03,"1,144.17","1,131.72","1,144.17","1,128.32",719.93K,1.10%
2024-01-04,"1,150.72","1,145.49","1,160.08","1,144.32",1.18M,0.57%
2024-01-05,"1,154.68","1,150.72","1,155.84","1,149.08",803.27K,0.34%
2024-01-08,"1,160.19","1,154.68","1,162.56","1,154.68",905.41K,0.48%
2024-01-09,"1,158.59","1,160.19","1,162.83","1,155.46",870.51K,-0.14%
2024-01-10,"1,161.54","1,158.59","1,166.10","1,155.94",992.76K,0.25%
2024-01-11,"1,162.22","1,161.54","1,169.10","1,157.43",860.49K,0.06%
2024-01-12,"1,154.70","1,162.22","1,162.22","1,146.75",1.09M,-0.65%
2024-01-15,"1,154.12","1,154.70","1,163.75","1,154.12",617.15K,-0.05%
2024-01-16,"1,163.12","1,154.12","1,163.12","1,147.71",611.40K,0.78%
2024-01-17,"1,162.53","1,161.95","1,168.46","1,160.45",769.80K,-0.05%
2024-01-18,"1,169.06","1,162.53","1,169.73","1,162.53",596.22K,0.56%
2024-01-19,"1,181.50","1,171.50","1,181.50","1,171.47",662.89K,1.06%
2024-01-22,"1,182.86","1,181.50","1,186.96","1,175.54",889.76K,0.12%
2024-01-23,"1,177.50","1,182.86","1,184.74","1,173.78",683.71K,-0.45%
2024-01-24,"1,172.97","1,177.50","1,180.30","1,172.00",733.19K,-0.38%
2024-01-25,"1,170.37","1,172.97","1,173.83","1,168.50",540.54K,-0.22%
2024-01-26,"1,175.67","1,170.37","1,176.76","1,170.37",575.22K,0.45%
2024-01-29,"1,175.69","1,175.67","1,180.46","1,174.88",666.53K,0.00%
2024-01-30,"1,179.65","1,175.69","1,179.92","1,174.13",620.15K,0.34%
2024-01-31,"1,164.31","1,179.65","1,182.53","1,163.13",1.12M,-1.30%
2024-02-01,"1,173.02","1,164.31","1,174.50","1,162.45",670.25K,0.75%
2024-02-02,"1,172.55","1,173.02","1,178.27","1,169.70",914.67K,-0.04%
2024-02-05,"1,186.06","1,172.55","1,188.45","1,172.55",874.80K,1.15%
2024-02-06,"1,188.48","1,186.06","1,190.92","1,185.68",619.77K,0.20%
2024-02-07,"1,198.53","1,188.48","1,199.52","1,188.48",685.66K,0.85%
2024-02-15,"1,202.50","1,203.08","1,207.56","1,198.81",868.72K,0.33%
2024-02-16,"1,209.70","1,202.50","1,210.25","1,202.50",822.64K,0.60%
2024-02-19,"1,224.97","1,209.70","1,225.48","1,209.70",1.05M,1.26%
2024-02-20,"1,230.06","1,224.97","1,230.47","1,222.66",939.95K,0.42%
2024-02-21,"1,230.04","1,230.06","1,234.22","1,222.92",988.85K,0.00%
2024-02-22,"1,227.31","1,230.04","1,232.09","1,226.15",840.41K,-0.22%
2024-02-23,"1,212.00","1,227.31","1,240.81","1,211.55",1.39M,-1.25%
2024-02-26,"1,224.17","1,212.00","1,225.21","1,210.52",889.75K,1.00%
2024-02-27,"1,237.46","1,224.17","1,237.60","1,224.17",986.85K,1.09%
2024-02-28,"1,254.55","1,237.46","1,254.55","1,236.32",970.76K,1.38%
2024-02-29,"1,252.73","1,254.55","1,264.39","1,247.70",1.09M,-0.15%
2024-03-01,"1,258.28","1,256.72","1,258.76","1,247.87",961.93K,0.44%
2024-03-04,"1,261.41","1,258.28","1,268.25","1,256.54",1.18M,0.25%
2024-03-05,"1,269.98","1,261.41","1,269.98","1,257.81",1.01M,0.68%
2024-03-06,"1,262.73","1,269.98","1,277.51","1,256.30",1.06M,-0.57%
2024-03-07,"1,268.46","1,262.73","1,269.88","1,260.24",1.02M,0.45%
2024-03-08,"1,247.35","1,268.46","1,274.30","1,247.35",1.35M,-1.66%
2024-03-11,"1,235.49","1,247.35","1,254.01","1,233.49",975.99K,-0.95%
2024-03-12,"1,245.00","1,235.49","1,248.33","1,233.14",836.22K,0.77%
2024-03-13,"1,270.51","1,245.00","1,270.51","1,245.00",982.23K,2.05%
2024-03-14,"1,264.26","1,270.51","1,276.41","1,258.67",1.06M,-0.49%
2024-03-15,"1,263.78","1,264.26","1,271.63","1,252.36",1.07M,-0.04%
2024-03-18,"1,243.56","1,263.78","1,269.90","1,221.67",1.71M,-1.60%
2024-03-19,"1,242.46","1,246.54","1,249.75","1,238.92",914.65K,-0.09%
2024-03-20,"1,260.08","1,242.46","1,261.55","1,235.46",915.57K,1.42%
2024-03-21,"1,276.42","1,260.08","1,276.42","1,260.08",1.25M,1.30%
2024-03-22,"1,281.80","1,276.42","1,291.27","1,276.38",1.38M,0.42%
2024-03-25,"1,267.86","1,281.80","1,286.84","1,264.51",1.24M,-1.09%
2024-03-26,"1,282.21","1,267.86","1,282.50","1,264.42",941.70K,1.13%
2024-03-27,"1,283.09","1,282.21","1,286.72","1,276.95",919.28K,0.07%
2024-03-28,"1,290.18","1,283.09","1,293.90","1,283.09",1.01M,0.55%
2024-03-29,"1,284.09","1,290.18","1,293.04","1,282.44",922.55K,-0.47%
2024-04-01,"1,281.52","1,284.09","1,286.80","1,274.09",971.21K,-0.20%
2024-04-02,"1,287.04","1,281.52","1,287.04","1,268.48",1.09M,0.43%
2024-04-03,"1,271.47","1,287.04","1,288.99","1,271.47",1.08M,-1.21%
2024-04-04,"1,268.25","1,271.47","1,277.62","1,265.12",980.91K,-0.25%
2024-04-05,"1,255.11","1,268.25","1,268.25","1,253.56",1.08M,-1.04%
2024-04-08,"1,250.35","1,255.11","1,258.40","1,246.87",876.04K,-0.38%
2024-04-09,"1,262.82","1,252.40","1,262.82","1,247.70",717.43K,1.00%
2024-04-10,"1,258.56","1,262.82","1,268.72","1,258.56",702.28K,-0.34%
2024-04-11,"1,258.20","1,258.56","1,262.03","1,248.11",686.82K,-0.03%
2024-04-12,"1,276.60","1,258.20","1,278.39","1,258.20",944.45K,1.46%
2024-04-15,"1,216.61","1,276.60","1,281.81","1,216.61",1.46M,-4.70%
2024-04-16,"1,215.68","1,216.61","1,222.45","1,191.73",1.36M,-0.08%
2024-04-17,"1,193.01","1,215.68","1,221.47","1,193.01",859.25K,-1.86%
2024-04-19,"1,174.85","1,193.01","1,193.01","1,165.99",1.07M,-1.52%
2024-04-22,"1,190.22","1,174.85","1,193.88","1,174.85",708.58K,1.31%
2024-04-23,"1,177.40","1,190.22","1,192.80","1,169.61",778.31K,-1.08%
2024-04-24,"1,205.61","1,177.40","1,207.61","1,177.40",820.08K,2.40%
2024-04-25,"1,204.97","1,205.61","1,208.41","1,200.21",569.65K,-0.05%
2024-04-26,"1,209.52","1,204.97","1,216.60","1,198.73",620.88K,0.38%
2024-05-02,"1,216.36","1,212.13","1,216.36","1,206.28",570.36K,0.57%
2024-05-03,"1,221.03","1,216.36","1,225.75","1,216.36",643.43K,0.38%
2024-05-06,"1,241.58","1,221.03","1,241.58","1,221.03",864.63K,1.68%
2024-05-07,"1,248.63","1,241.58","1,250.63","1,240.09",707.90K,0.57%
2024-05-08,"1,250.46","1,248.63","1,251.62","1,234.76",981.80K,0.15%
2024-05-09,"1,248.64","1,250.46","1,256.80","1,243.29",771.55K,-0.15%
2024-05-10,"1,244.70","1,248.64","1,252.50","1,237.46",669.11K,-0.32%
2024-05-13,"1,240.18","1,244.70","1,249.20","1,233.56",741.58K,-0.36%
2024-05-14,"1,243.28","1,240.18","1,252.52","1,240.18",640.49K,0.25%
2024-05-15,"1,254.39","1,243.28","1,257.92","1,243.28",880.17K,0.89%
2024-05-16,"1,268.78","1,254.39","1,271.66","1,254.39",885.06K,1.15%
2024-05-17,"1,273.11","1,268.78","1,274.27","1,266.32",937.04K,0.34%
2024-05-20,"1,277.58","1,273.11","1,285.19","1,273.11",1.16M,0.35%
2024-05-21,"1,277.14","1,277.58","1,281.29","1,267.29",972.16K,-0.03%
2024-05-22,"1,266.91","1,277.14","1,283.06","1,263.87",1.14M,-0.80%
2024-05-23,"1,281.03","1,266.91","1,281.03","1,262.29",968.13K,1.11%
2024-05-24,"1,261.93","1,281.03","1,285.07","1,250.28",1.37M,-1.49%
2024-05-27,"1,267.68","1,263.46","1,267.68","1,257.27",726.70K,0.46%
2024-05-28,"1,281.73","1,267.68","1,281.73","1,267.68",868.58K,1.11%
2024-05-29,"1,272.64","1,281.73","1,285.63","1,271.60",1.07M,-0.71%
2024-05-30,"1,266.32","1,272.64","1,272.64","1,251.80",1.05M,-0.50%
2024-05-31,"1,261.72","1,266.32","1,271.07","1,261.43",771.15K,-0.36%
2024-06-03,"1,280.00","1,261.72","1,284.48","1,261.72",1.05M,1.45%
2024-06-04,"1,283.52","1,280.00","1,289.31","1,280.00",935.85K,0.28%
2024-06-05,"1,284.35","1,283.52","1,293.93","1,283.52",925.06K,0.06%
2024-06-06,"1,283.56","1,288.79","1,292.02","1,278.40",893.07K,-0.06%
2024-06-07,"1,287.58","1,283.56","1,293.03","1,283.13",698.28K,0.31%
2024-06-10,"1,290.67","1,287.58","1,297.39","1,287.44",858.65K,0.24%
2024-06-11,"1,284.41","1,290.67","1,296.41","1,279.47",993.34K,-0.49%
2024-06-12,"1,300.19","1,284.41","1,301.35","1,281.71",895.26K,1.23%
2024-06-13,"1,301.51","1,305.69","1,306.01","1,297.60",891.33K,0.10%
2024-06-14,"1,279.91","1,301.51","1,305.02","1,279.91",1.11M,-1.66%
2024-06-17,"1,274.77","1,279.91","1,283.10","1,272.54",900.56K,-0.40%
2024-06-18,"1,279.50","1,274.77","1,286.52","1,274.77",805.29K,0.37%
2024-06-19,"1,279.79","1,279.50","1,284.14","1,270.66",1.00M,0.02%
2024-06-20,"1,282.30","1,279.79","1,286.54","1,273.54",932.55K,0.20%
2024-06-21,"1,282.02","1,282.30","1,288.06","1,279.44",834.75K,-0.02%
2024-06-24,"1,254.12","1,282.02","1,284.84","1,252.66",1.25M,-2.18%
2024-06-25,"1,256.56","1,254.12","1,260.07","1,250.25",835.30K,0.19%
2024-06-26,"1,261.24","1,256.56","1,262.67","1,247.55",878.37K,0.37%
2024-06-27,"1,259.09","1,261.24","1,262.49","1,255.12",596.99K,-0.17%
2024-06-28,"1,245.32","1,259.09","1,262.61","1,240.15",840.43K,-1.09%
2024-07-01,"1,254.56","1,245.32","1,254.56","1,240.07",487.19K,0.74%
